regime,traj_idx,E_short,E_max,t_E_max,P_thr_5pct,amp_loss_pct,energy_drift_pct,error_corr_time,t_div,T_max_5pct,T_max_10pct,T_mean_5pct,T_mean_10pct
Pushforward,1739,3.360734309020786e-06,0.0006808110124438826,4.92,41.717791411042946,-8.774987942506673,,0.18,3.0300000000000002,2.82,3.0300000000000002,,
Pushforward,1750,1.1682285617999732e-05,0.00024637661317683524,3.66,20.245398773006134,-1.94393717920428,472872905.1623969,0.15,,2.31,,,
Pushforward,1797,1.1945751826650408e-05,0.00045700152577410336,4.47,53.987730061349694,-10.983361495869023,,0.21,4.3500000000000005,1.29,4.3500000000000005,,
Pushforward,1813,1.432026215405902e-05,0.0006071907682780875,3.42,63.80368098159509,-9.174114944715905,,0.15,3.0300000000000002,1.32,3.0300000000000002,,
Pushforward,1843,1.714648296617703e-05,0.00036104434957451303,2.58,26.993865030674847,-5.993117481055478,51438871.24239362,0.18,,0.96,,,
Pushforward,1854,7.157136585904546e-06,0.0003196703728463035,4.47,63.80368098159509,-9.672445720169094,,0.21,3.24,1.3800000000000001,3.24,,
Pushforward,1859,3.2135878407939146e-06,0.0006000890525683644,4.47,38.03680981595092,-7.152732901982007,,0.18,3.5700000000000003,3.0300000000000002,3.5700000000000003,4.38,
Pushforward,1863,3.5604855800754357e-06,0.00022000594708515564,4.65,60.736196319018404,-26.810120698758364,,0.36,2.67,1.05,2.67,4.26,4.41
Pushforward,1875,1.821018902690948e-05,0.0005019940508645959,4.74,60.736196319018404,-11.954760429876503,5853.416545054796,0.12,1.86,0.5700000000000001,1.86,,
Pushforward,1877,1.2902501746982323e-05,0.00047549760711262934,3.12,63.190184049079754,-7.3730071547494385,,0.15,3.12,1.32,3.12,,
Pushforward,1885,3.6134467348171775e-06,0.0005070346687716665,4.92,39.877300613496935,-1.4175557138457564,,0.39,4.08,2.13,4.08,4.14,
Pushforward,1887,3.433506301556004e-05,0.0005149720686858927,4.92,73.00613496932516,-6.346062637199884,537.232694371318,0.24,0.51,0.42,0.51,,
Pushforward,1899,2.7467436060922427e-05,0.0005027270863138256,4.62,96.31901840490798,-6.513277531116221,-20.942507041720045,0.06,0.3,0.24,0.3,,
Pushforward,1935,6.099798385151901e-06,0.0003505627864797134,4.5600000000000005,53.374233128834355,-24.50903743235342,,0.39,3.5100000000000002,1.2,3.5100000000000002,4.14,
Pushforward,1973,4.07734997794558e-06,0.0006008746977386181,4.74,59.50920245398773,-16.30919235141479,,0.15,3.27,1.59,3.27,4.65,
Pushforward,1974,3.0072947438936525e-05,0.0006113055874266138,4.92,60.736196319018404,-8.081224935731763,3956.0993673630373,0.09,0.51,0.51,0.51,,
