=== beamsurrogate [run] run_id=p3_pinn_0 model=mlp regime=pushforward stabilizer=none dataset=simple features=['U'] ===
[mem] start: 0.58 Go
Loaded 2000 trajectories from /home/aph25/Code_GH/data/beam_dataset_simple.h5
Split distribution (from dataset):
  train : 1817 simulations (90.8 %)
  val   :   84 simulations (4.2 %)
  test  :   99 simulations (5.0 %)
[mem] after load_hdf5_dataset: 28.96 Go
[mem] after compute_norm_stats: 28.96 Go
MLP(
  (net): Sequential(
    (0): Linear(in_features=69, out_features=512, bias=True)
    (1): GELU(approximate='none')
    (2): Linear(in_features=512, out_features=256, bias=True)
    (3): GELU(approximate='none')
    (4): Linear(in_features=256, out_features=64, bias=True)
    (5): GELU(approximate='none')
    (6): Linear(in_features=64, out_features=2, bias=True)
  )
)
Parameters: 183,746
[mem] after make_dataloaders: 54.62 Go
[mem] after trimming df to test split: 28.18 Go
Epoch   67/100  --  data: 0.0018  |  pushforward: 0.0187  |  physics: 0.0000  |  comparable loss (val): 0.0065
Epoch   68/100  --  data: 0.0015  |  pushforward: 0.0155  |  physics: 0.0000  |  comparable loss (val): 0.0051
Epoch   69/100  --  data: 0.0016  |  pushforward: 0.0158  |  physics: 0.0000  |  comparable loss (val): 0.0027
Epoch   70/100  --  data: 0.0021  |  pushforward: 0.0226  |  physics: 0.0000  |  comparable loss (val): 0.0246
Epoch   71/100  --  data: 0.0016  |  pushforward: 0.0169  |  physics: 0.0000  |  comparable loss (val): 0.1918
Epoch   72/100  --  data: 0.0016  |  pushforward: 0.0158  |  physics: 0.0000  |  comparable loss (val): 0.0084
Epoch   73/100  --  data: 0.0015  |  pushforward: 0.0152  |  physics: 0.0000  |  comparable loss (val): 0.0085
Epoch   74/100  --  data: 0.0015  |  pushforward: 0.0157  |  physics: 0.0000  |  comparable loss (val): 0.0050
Epoch   75/100  --  data: 0.0015  |  pushforward: 0.0148  |  physics: 0.0000  |  comparable loss (val): 0.0040
Epoch   76/100  --  data: 0.0015  |  pushforward: 0.0149  |  physics: 0.0000  |  comparable loss (val): 0.0018
Epoch   77/100  --  data: 0.0015  |  pushforward: 0.0144  |  physics: 0.0000  |  comparable loss (val): 0.0014
Epoch   78/100  --  data: 0.0015  |  pushforward: 0.0148  |  physics: 0.0000  |  comparable loss (val): 0.0056
Epoch   79/100  --  data: 0.0015  |  pushforward: 0.0147  |  physics: 0.0000  |  comparable loss (val): 0.0244
Epoch   80/100  --  data: 0.0014  |  pushforward: 0.0136  |  physics: 0.0000  |  comparable loss (val): 0.0088
Epoch   81/100  --  data: 0.0016  |  pushforward: 0.0166  |  physics: 0.0000  |  comparable loss (val): 0.0131
Epoch   82/100  --  data: 0.0015  |  pushforward: 0.0146  |  physics: 0.0000  |  comparable loss (val): 0.0935
Epoch   83/100  --  data: 0.0014  |  pushforward: 0.0131  |  physics: 0.0000  |  comparable loss (val): 0.0042
Epoch   84/100  --  data: 0.0014  |  pushforward: 0.0133  |  physics: 0.0000  |  comparable loss (val): 0.0012
Epoch   85/100  --  data: 0.0016  |  pushforward: 0.0161  |  physics: 0.0000  |  comparable loss (val): 0.0040
Epoch   86/100  --  data: 0.0013  |  pushforward: 0.0123  |  physics: 0.0000  |  comparable loss (val): 0.0098
Epoch   87/100  --  data: 0.0013  |  pushforward: 0.0128  |  physics: 0.0000  |  comparable loss (val): 0.0100
Epoch   88/100  --  data: 0.0013  |  pushforward: 0.0127  |  physics: 0.0000  |  comparable loss (val): 0.0574
